id,left,top,right,bottom,row_index,col_index,grid_area,density,b_area_sum,building_density,density_final1,green_mean
958,1119102.539600000018254,1685207.949100000318140,1119602.539600000018254,1684707.949100000085309,53,8,250112.259,0.068,24277.502000,0.097,0.097,0.859154929577465
959,1119102.539600000018254,1684707.949100000085309,1119602.539600000018254,1684207.949100000318140,54,8,250112.259,0.147,40064.256000,0.160,0.160,0.239700374531835
960,1119102.539600000018254,1684207.949100000318140,1119602.539600000018254,1683707.949100000085309,55,8,250112.259,0.000,,,,0.946360153256705
961,1119102.539600000018254,1683707.949100000085309,1119602.539600000018254,1683207.949100000318140,56,8,217289.530,0.000,17.541000,0.000,0.000,0.743801652892562
962,1119102.539600000018254,1683207.949100000318140,1119602.539600000018254,1682707.949100000085309,57,8,22026.831,0.000,,,,0.16
973,1119102.539600000018254,1677707.949100000085309,1119602.539600000018254,1677207.949100000318140,68,8,1046.260,0.000,,,,0
974,1119102.539600000018254,1677207.949100000318140,1119602.539600000018254,1676707.949100000085309,69,8,24620.128,0.000,,,,0
975,1119102.539600000018254,1676707.949100000085309,1119602.539600000018254,1676207.949100000318140,70,8,4441.651,0.000,,,,0
977,1119102.539600000018254,1675707.949100000085309,1119602.539600000018254,1675207.949100000318140,72,8,144856.642,0.000,,,,0
978,1119102.539600000018254,1675207.949100000318140,1119602.539600000018254,1674707.949100000085309,73,8,172880.040,0.006,981.538000,0.006,0.006,0.00505050505050505
979,1119102.539600000018254,1674707.949100000085309,1119602.539600000018254,1674207.949100000318140,74,8,203041.822,0.008,1085.464000,0.005,0.005,0.811659192825112
980,1119102.539600000018254,1674207.949100000318140,1119602.539600000018254,1673707.949100000085309,75,8,250112.257,0.000,68.712000,0.000,0.000,1
981,1119102.539600000018254,1673707.949100000085309,1119602.539600000018254,1673207.949100000318140,76,8,250112.257,0.001,172.524000,0.001,0.001,0.966911764705882
982,1119102.539600000018254,1673207.949100000318140,1119602.539600000018254,1672707.949100000085309,77,8,182506.800,0.005,573.306000,0.003,0.003,0.780487804878049
983,1119102.539600000018254,1672707.949100000085309,1119602.539600000018254,1672207.949100000318140,78,8,5073.879,0.032,116.426000,0.023,0.023,0
984,1119102.539600000018254,1672207.949100000318140,1119602.539600000018254,1671707.949100000085309,79,8,12225.856,0.019,140.166000,0.011,0.011,0.428571428571429
985,1119102.539600000018254,1671707.949100000085309,1119602.539600000018254,1671207.949100000318140,80,8,106514.711,0.000,18.096000,0.000,0.000,0.482758620689655
986,1119102.539600000018254,1671207.949100000318140,1119602.539600000018254,1670707.949100000085309,81,8,7752.363,0.000,,,,0
